actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
626,93900,0.19558406,0.27435258,0.17642266,0.13397892,150,0.0,0.46356988,0.4134223,0.50622934,0.5484189,0.65915394,0.6877749,0.68265206,0.6823978,0.3325383,0.33664447,0.34317672,0.350837,16.725670160672035,0.0,0.0
634,95100,0.06351721,0.1798397,0.16975446,0.13434379,150,0.0,0.5996955,0.49468297,0.51170754,0.5479453,0.6632127,0.67452264,0.68146205,0.6822892,0.21141925,0.3373639,0.34268063,0.3506319,16.538484084801496,0.0,0.0
642,96300,0.23371705,0.24465182,0.18424498,0.13612074,150,0.0,0.43521222,0.4310655,0.49669608,0.54610753,0.6689293,0.67571735,0.680941,0.6822282,0.31125933,0.28607538,0.3382481,0.34977543,15.204262104800305,0.0,0.0
650,97500,0.21656922,0.24514627,0.18820997,0.13748053,150,0.0,0.4517531,0.43944487,0.49303663,0.54476655,0.6683223,0.6845912,0.6812466,0.68224704,0.30995283,0.34099552,0.33770362,0.3496399,16.865782044425877,0.0,0.0
654,98100,0.246299,0.25147036,0.19452536,0.13822713,150,0.0,0.45807394,0.42706737,0.48616052,0.5439679,0.70437294,0.6785377,0.6806858,0.68219507,0.38151956,0.32893938,0.3366578,0.34945515,14.825516949114201,0.0,0.0
662,99300,0.28781253,0.24483797,0.19853762,0.13948792,150,0.0,0.39727193,0.43158168,0.481083,0.5426147,0.68508446,0.6764196,0.67962056,0.6821026,0.34461084,0.32549405,0.33375806,0.3491241,14.186086453364068,0.0,0.0
670,100500,0.22608212,0.24146017,0.20450108,0.14071149,150,0.0,0.44265315,0.43649593,0.47511673,0.5413966,0.66873527,0.6779561,0.67961794,0.6821081,0.31084234,0.3282659,0.3325559,0.34898168,16.54037459668835,0.0,0.0
678,101700,0.25578597,0.23822108,0.22075707,0.14178397,150,0.0,0.42748556,0.44566926,0.45932916,0.5403177,0.6832715,0.68389034,0.6800864,0.6821017,0.34099257,0.34005186,0.3320503,0.34883782,16.857952104217517,0.0,0.0
686,102900,0.27036256,0.23489094,0.23581056,0.14283295,150,0.0,0.38671637,0.45056105,0.44468126,0.5392732,0.6570789,0.685452,0.6804918,0.68210614,0.28687742,0.341443,0.33108675,0.34868202,14.920208283437894,0.0,0.0
694,104100,0.2719406,0.25392872,0.2391668,0.14421508,150,0.0,0.39502168,0.42540163,0.4414546,0.53785086,0.66696227,0.67933035,0.68062127,0.68206596,0.3070093,0.33122417,0.3305992,0.34846628,15.250873225560065,0.0,0.0
702,105300,0.22683594,0.25395852,0.24307646,0.14547895,150,0.0,0.42624143,0.42684656,0.43730983,0.5365927,0.65307736,0.680805,0.68038636,0.6820716,0.28762498,0.33501136,0.32960546,0.34835216,16.507900390293944,0.0,0.0
